,mouse_id,region,treatment,sex,time,density
292,22,MO,morphine,M,4h,265.1903476930117
293,23,MO,morphine,M,4h,601.2589915846645
294,24,MO,saline,F,1h,135.62171390345878
295,25,MO,saline,F,4h,26.62537266319411
296,26,MO,saline,F,4h,10.429293439499997
297,0,MOp,morphine,M,1h,462.4126115926111
298,1,MOp,morphine,M,4h,352.1172049029656
299,2,MOp,saline,M,1h,724.4082501668967
300,3,MOp,saline,M,4h,210.63603625794116
301,4,MOp,morphine,F,4h,142.45021774533285
302,5,MOp,saline,F,4h,32.595287919463914
303,6,MOp,morphine,M,1h,207.8169843297713
304,7,MOp,morphine,M,4h,38.23339177580362
305,8,MOp,saline,M,4h,64.92628972066191
306,9,MOp,morphine,F,4h,70.03582134046977
307,10,MOp,saline,F,1h,72.15011028659715
308,11,MOp,saline,M,1h,31.09766658262368
309,12,MOp,morphine,M,1h,39.46672699437793
310,13,MOp,saline,M,4h,2.378575064393313
311,14,MOp,morphine,M,1h,142.1859316270669
312,15,MOp,morphine,F,4h,15.328594859423571
313,16,MOp,saline,F,4h,2.819051928169852
314,17,MOp,morphine,M,1h,56.82151542717359
315,18,MOp,saline,M,1h,13.74287814982803
316,19,MOp,morphine,F,1h,36.8238658117187
317,20,MOp,morphine,F,1h,58.31913676401382
318,21,MOp,morphine,F,1h,8.016678920733018
319,22,MOp,morphine,M,4h,283.40281415382543
320,23,MOp,morphine,M,4h,634.2866838382167
321,24,MOp,saline,F,1h,25.01908586250744
322,25,MOp,saline,F,4h,19.99764961545489
323,26,MOp,saline,F,4h,9.426204884817944
324,0,MOp1,morphine,M,1h,671.942885607179
325,1,MOp1,morphine,M,4h,1483.090064425252
326,2,MOp1,saline,M,1h,1340.1234930194692
327,3,MOp1,saline,M,4h,546.2827938978858
328,4,MOp1,morphine,F,4h,20.31630225240071
329,5,MOp1,saline,F,4h,9.02946766773365
330,6,MOp1,morphine,M,1h,5.2671894728446285
331,7,MOp1,morphine,M,4h,3.7622781948890207
332,8,MOp1,saline,M,4h,12.79174586262267
333,9,MOp1,morphine,F,4h,9.781923306711453
334,10,MOp1,saline,F,1h,12.79174586262267
335,11,MOp1,saline,M,1h,4.514733833866825
336,12,MOp1,morphine,M,1h,7.524556389778041
337,13,MOp1,saline,M,4h,1.5049112779556082
338,14,MOp1,morphine,M,1h,27.840858642178752
339,15,MOp1,morphine,F,4h,5.2671894728446285
340,16,MOp1,saline,F,4h,3.7622781948890207
341,17,MOp1,morphine,M,1h,0.0
342,18,MOp1,saline,M,1h,27.840858642178752
343,19,MOp1,morphine,F,1h,38.375237587868014
344,20,MOp1,morphine,F,1h,0.7524556389778041
345,21,MOp1,morphine,F,1h,0.7524556389778041
346,22,MOp1,morphine,M,4h,71.4832857028914
347,23,MOp1,morphine,M,4h,0.0
348,24,MOp1,saline,F,1h,60.94890675720213
349,25,MOp1,saline,F,4h,12.039290223644866
350,26,MOp1,saline,F,4h,0.0
351,0,MOp2/3,morphine,M,1h,838.3722405274508
352,1,MOp2/3,morphine,M,4h,496.84329676263087
353,2,MOp2/3,saline,M,1h,1510.8589940834177
354,3,MOp2/3,saline,M,4h,376.22394757584925
355,4,MOp2/3,morphine,F,4h,134.7141944850123
356,5,MOp2/3,saline,F,4h,48.247739674712655
357,6,MOp2/3,morphine,M,1h,141.2195076995803
358,7,MOp2/3,morphine,M,4h,43.91086419833399
359,8,MOp2/3,saline,M,4h,99.7481359567093
360,9,MOp2/3,morphine,F,4h,76.97953970572131
361,10,MOp2/3,saline,F,1h,73.72688309843731
362,11,MOp2/3,saline,M,1h,35.50816796285032
363,12,MOp2/3,morphine,M,1h,59.36098308293298
364,13,MOp2/3,saline,M,4h,3.5237113245576657
365,14,MOp2/3,morphine,M,1h,184.3172077460933
366,15,MOp2/3,morphine,F,4h,12.197462277314997
367,16,MOp2/3,saline,F,4h,4.336875476378665
368,17,MOp2/3,morphine,M,1h,16.534337753693663
369,18,MOp2/3,saline,M,1h,14.36590001550433
370,19,MOp2/3,morphine,F,1h,26.834417010092995
371,20,MOp2/3,morphine,F,1h,62.07153025566965
372,21,MOp2/3,morphine,F,1h,6.776367931841665
373,22,MOp2/3,morphine,M,4h,418.2374287532676
374,23,MOp2/3,morphine,M,4h,86.46645481029965
375,24,MOp2/3,saline,F,1h,36.32133211467132
376,25,MOp2/3,saline,F,4h,31.713401921018992
377,26,MOp2/3,saline,F,4h,18.702775491882996
378,0,MOp5,morphine,M,1h,299.7393092979684
379,1,MOp5,morphine,M,4h,37.88753756671568
380,2,MOp5,saline,M,1h,189.4376878335784
381,3,MOp5,saline,M,4h,76.99725376461573
382,4,MOp5,morphine,F,4h,200.74284017203388
383,5,MOp5,saline,F,4h,46.13724332721022
